"день_недели","Временной_период","Количество_постов","Общая_сумма_лайков","Среднее_количество"
1,"00:00–08:00","3","24","8.00"
1,"08:00–12:00","3","91","30.33"
1,"18:00–00:00","6","89","14.83"
2,"00:00–08:00","2","33","16.50"
2,"12:00–18:00","3","62","20.67"
2,"18:00–00:00","7","134","19.14"
3,"00:00–08:00","1","16","16.00"
3,"08:00–12:00","2","23","11.50"
3,"12:00–18:00","1","6","6.00"
3,"18:00–00:00","11","131","11.91"
4,"00:00–08:00","1","5","5.00"
4,"12:00–18:00","3","21","7.00"
4,"18:00–00:00","5","97","19.40"
5,"00:00–08:00","5","132","26.40"
5,"08:00–12:00","1","2","2.00"
5,"12:00–18:00","3","46","15.33"
5,"18:00–00:00","9","125","13.89"
6,"00:00–08:00","4","86","21.50"
6,"08:00–12:00","3","57","19.00"
6,"12:00–18:00","5","48","9.60"
6,"18:00–00:00","16","178","11.13"
7,"08:00–12:00","8","181","22.63"
7,"12:00–18:00","15","290","19.33"
7,"18:00–00:00","24","502","20.92"
